What is your current academic grade or year of study?	On a scale of 1 to 7, how satisfied are you with your social life within the school community?	On a scale of 1 to 7, how engaged do you feel in your current academic program? 	On a scale of 1 to 7, how would you rate your overall physical well-being?	Do you have any chronic diseases? 	How many days a week do you engage in at least 30 minutes of physical activity?	Have you been eating too much or too little? 	How many (average) hours of sleep do you get daily?	-Have you been able to concentrate on things like reading or watching TV in the past month? 	On a scale of 1-7, how would you rate your overall mental well-being in the past month?	Have you lost interest or pleasure in doing things you usually enjoy?	Have you been feeling down, depressed, or hopeless in the past month?	On a scale of 1 to 7, how would you rate your stress level during peak study times (exams, assignments)?	On a scale of 1 to 7, how comfortable do you feel seeking support from teachers or counselors?	On a scale of 1 to 7, how would you rate your ability to bounce back from setbacks?	Does the quality of your friends influence your mental health?	Do you feel sleepy , when you are  studying ?	Have you utilized any support services for academic or mental health concerns in the past year?	On a scale of 1 to 7, how would you rate your overall experience as a student?	Do you study consistently ?	How often does your mental health impact your ability to focus on studies? 
University	6	4	6	No	0	yes	5	No	5	Yes	Yes	6	2	7	No	Yes	No	5	No	Occasionally
University	5	4	4	Yes	1	Yes	4	No	2	Yes	Yes	5	1	4	Yes	Yes	Yes	5	No	Frequently
University	6	5	4	No	2	No	7	Yes	6	No	No	4	2	5	Yes	Yes	No	6	Yes	Rarely
University	5	5	4	No	4	Yes	7	No	4	Yes	Yes	4	1	6	Yes	Yes	No	5	No	Occasionally
University	6	6	6	No	6	Yes	6	Yes	4	Yes	Yes	6	3	4	Yes	Yes	No	6	No	Occasionally
University	4	6	4	No	0	Yes	7	No	5	Yes	No	3	2	4	Yes	Yes	No	5	No	Rarely
University	4	5	6	No	0	No	7	Yes	4	Yes	Yes	3	1	4	Yes	Yes	No	5	Yes	Occasionally
University	3	4	4	No	0	Yes	6	No	1	Yes	Yes	6	3	3	Yes	Yes	No	5	No	Frequently
University	4	4	6	No	3	No	6	No	5	No	Yes	3	2	3	Yes	Yes	No	3	No	Rarely
University	4	2	3	No	0	Yes	7	Yes	5	No	Yes	4	3	5	Yes	Yes	Yes	3	Yes	Frequently
University	7	5	4	No	2	Yes	7	No	1	Yes	Yes	5	1	7	Yes	Yes	No	5	No	Frequently
University	1	1	1	No	0	Yes	10	No	1	Yes	Yes	7	1	1	Yes	Yes	No	2	No	Frequently
University	6	3	6	No	0	No	6	Yes	4	Yes	Yes	7	1	3	Yes	Yes	Yes	5	No	Frequently
University	5	4	7	No	1	No	6	No	6	No	No	4	3	5	Yes	Yes	No	5	No	Occasionally
